payment_event_id,transaction_id,attempt_number,payment_method,attempt_timestamp,latency_ms,status,amount_npr
PE000000034,T00000032,1,IME Pay,2024-02-01 19:28:04,2035,success,6795
PE000000035,T00000033,1,Cash,2025-06-01 11:06:51,1874,success,445
PE000000036,T00000034,1,FonePay,2024-12-16 09:47:38,346,success,11899
PE000000037,T00000035,1,eSewa,2025-02-26 19:59:41,222,success,6762
PE000000038,T00000036,1,FonePay,2025-02-23 14:11:08,1118,success,2419
PE000000039,T00000037,1,Khalti,2024-03-31 17:58:40,1715,success,296
PE000000040,T00000038,1,Khalti,2024-08-08 15:42:42,1989,success,3543
PE000000041,T00000039,1,eSewa,2025-05-27 16:47:15,1595,success,2332
PE000000042,T00000040,1,Cash,2024-07-31 16:52:45,1287,success,1556
PE000000043,T00000041,1,Cash,2025-01-22 18:41:22,2294,success,3387
PE000000044,T00000042,1,IME Pay,2025-10-31 15:17:25,1540,success,242
PE000000045,T00000043,1,Cash,2025-03-01 17:56:58,664,success,3184
PE000000046,T00000044,1,FonePay,2024-08-05 13:19:50,1088,success,4828
PE000000047,T00000045,1,Cash,2024-06-03 17:23:47,1066,success,15585
PE000000048,T00000046,1,FonePay,2025-08-10 21:46:44,685,success,673
PE000000049,T00000047,1,IME Pay,2024-05-12 20:56:33,739,retry,8955
PE000000050,T00000047,2,IME Pay,2024-05-12 20:56:39,1708,retry,8955
PE000000051,T00000047,3,IME Pay,2024-05-12 20:56:45,2214,success,8955
PE000000052,T00000048,1,Card,2024-12-28 19:07:26,1784,success,7087
PE000000053,T00000049,1,IME Pay,2025-07-20 20:23:53,1748,success,6495
PE000000054,T00000050,1,Cash,2024-06-08 11:49:31,1013,success,492
PE000000055,T00000051,1,Cash,2026-01-31 17:29:35,1046,success,8711
PE000000056,T00000052,1,IME Pay,2026-03-22 18:41:18,1645,success,4348
PE000000057,T00000053,1,Cash,2026-03-26 16:43:07,2017,success,812
PE000000058,T00000054,1,Cash,2024-12-12 17:09:50,884,success,6152
PE000000059,T00000055,1,Khalti,2025-02-07 07:48:32,1838,success,2675
PE000000060,T00000056,1,Khalti,2024-01-21 17:22:53,1697,success,6355
PE000000061,T00000057,1,FonePay,2024-08-31 13:05:59,309,success,7056
PE000000062,T00000058,1,eSewa,2024-07-26 09:21:14,1569,retry,2102
PE000000063,T00000058,2,eSewa,2024-07-26 09:21:20,2081,success,2102
PE000000064,T00000059,1,IME Pay,2025-07-27 10:28:37,1665,success,8070
PE000000065,T00000060,1,Cash,2024-08-31 17:10:59,1438,success,1270
PE000000066,T00000061,1,Card,2025-10-07 20:22:19,1202,success,4354
PE000000067,T00000062,1,IME Pay,2025-05-21 13:17:08,2291,success,741
PE000000068,T00000063,1,FonePay,2026-02-02 18:39:20,1963,success,4790
PE000000069,T00000064,1,Khalti,2025-12-07 20:29:28,1358,success,434
PE000000070,T00000065,1,Card,2025-07-14 07:39:58,905,success,5615
PE000000071,T00000066,1,FonePay,2025-12-03 12:38:01,120,success,17110
PE000000072,T00000067,1,eSewa,2024-06-19 13:59:31,2113,success,7972
PE000000073,T00000068,1,eSewa,2025-10-17 20:29:04,1282,success,3096
PE000000074,T00000069,1,IME Pay,2026-02-27 22:49:43,120,success,2165
PE000000075,T00000070,1,Cash,2024-03-02 11:39:30,2098,success,2018
PE000000076,T00000071,1,IME Pay,2025-02-01 20:53:59,2741,success,20951
PE000000077,T00000072,1,eSewa,2025-04-27 13:04:01,1335,success,13202
PE000000078,T00000073,1,Cash,2025-12-31 21:23:38,814,success,620
PE000000079,T00000074,1,Card,2025-09-05 17:00:08,1237,success,1546
PE000000080,T00000075,1,Khalti,2026-01-16 17:15:17,1357,success,1864
PE000000081,T00000076,1,Cash,2024-11-27 21:22:39,1257,success,4682
PE000000082,T00000077,1,Khalti,2025-05-09 15:44:13,1087,success,23029
PE000000083,T00000078,1,eSewa,2024-05-09 18:32:07,735,success,14202
PE000000084,T00000079,1,IME Pay,2026-02-28 21:01:57,1307,success,9104
PE000000085,T00000080,1,Cash,2024-03-05 18:53:37,793,success,4527
PE000000086,T00000081,1,Khalti,2025-07-21 14:04:33,120,success,2310
PE000000087,T00000082,1,eSewa,2024-05-25 14:41:39,673,success,939
PE000000088,T00000083,1,FonePay,2024-01-24 17:51:31,1267,success,649
PE000000089,T00000084,1,Cash,2026-01-18 15:37:20,1815,success,19430
PE000000090,T00000085,1,Card,2024-03-29 15:24:12,973,success,121
PE000000091,T00000086,1,FonePay,2026-02-03 14:07:34,2346,success,9927
PE000000092,T00000087,1,eSewa,2025-11-16 11:38:24,684,success,1035
PE000000093,T00000088,1,Card,2025-01-13 21:04:37,1377,success,3500
PE000000094,T00000089,1,Cash,2024-11-30 15:30:39,630,success,4597
PE000000095,T00000090,1,FonePay,2025-05-23 18:14:50,1691,success,19669
PE000000096,T00000091,1,Cash,2025-01-28 17:44:14,1341,success,444
PE000000097,T00000092,1,Khalti,2024-03-28 19:08:07,2717,success,142
PE000000098,T00000093,1,Cash,2024-02-21 18:17:59,2387,success,2443
PE000000099,T00000094,1,Khalti,2025-04-09 18:23:37,1820,success,6378
PE000000100,T00000095,1,Khalti,2024-03-22 16:49:39,1104,success,8203
PE000000101,T00000096,1,eSewa,2024-12-15 09:08:58,2283,retry,2171
PE000000102,T00000096,2,eSewa,2024-12-15 09:09:04,120,success,2171
PE000000103,T00000097,1,IME Pay,2025-08-23 15:46:56,2152,success,2808
PE000000104,T00000098,1,Khalti,2024-12-22 13:03:00,1395,success,3849
PE000000105,T00000099,1,Card,2025-04-19 19:25:55,204,success,36165
PE000000106,T00000100,1,eSewa,2025-08-25 20:55:32,1285,success,328
PE000000107,T00000101,1,Card,2025-02-07 16:02:05,1770,success,5122
PE000000108,T00000102,1,Khalti,2026-03-09 19:08:37,1067,success,16390
PE000000109,T00000103,1,Khalti,2024-11-24 18:34:00,1242,success,2631
PE000000110,T00000104,1,FonePay,2024-02-29 18:43:16,625,success,3896
PE000000111,T00000105,1,FonePay,2024-08-10 12:08:15,238,success,4277
PE000000112,T00000106,1,Khalti,2025-02-06 18:10:00,1476,success,8796
PE000000113,T00000107,1,Card,2025-04-18 20:07:16,964,success,3561
PE000000114,T00000108,1,eSewa,2026-02-27 16:50:19,120,success,2245
PE000000115,T00000109,1,Card,2025-06-23 22:54:30,2065,retry,3773
PE000000116,T00000109,2,Card,2025-06-23 22:54:36,120,retry,3773
PE000000117,T00000109,3,Card,2025-06-23 22:54:42,611,success,3773
PE000000118,T00000110,1,FonePay,2024-11-19 18:15:49,1278,success,791
PE000000119,T00000111,1,eSewa,2024-08-01 14:26:35,1073,success,33598
PE000000120,T00000112,1,eSewa,2024-12-21 16:24:56,1500,success,3728
PE000000121,T00000113,1,Khalti,2026-01-31 19:31:00,1899,retry,6855
PE000000122,T00000113,2,Khalti,2026-01-31 19:31:06,2097,success,6855
PE000000123,T00000114,1,Cash,2024-12-08 23:37:14,985,success,3334
PE000000124,T00000115,1,Cash,2025-06-01 17:49:24,1339,success,713
PE000000125,T00000116,1,Cash,2024-09-21 12:39:41,1754,success,10031
PE000000126,T00000117,1,FonePay,2025-08-16 15:12:55,1432,success,1219
PE000000127,T00000118,1,Khalti,2024-12-28 16:41:32,500,success,3248
PE000000128,T00000119,1,Khalti,2025-01-01 19:34:27,865,success,4790
PE000000129,T00000120,1,Card,2026-03-06 17:35:30,1749,success,503
PE000000130,T00000121,1,Cash,2025-07-09 20:45:10,1406,success,8173
PE000000131,T00000122,1,FonePay,2024-12-09 20:07:47,2440,success,2244
PE000000132,T00000123,1,eSewa,2026-03-22 17:05:06,1886,success,8094
PE000000133,T00000124,1,eSewa,2025-01-04 20:20:05,1433,success,514
PE000000134,T00000125,1,FonePay,2024-10-16 23:02:27,1430,success,7157
PE000000135,T00000126,1,Cash,2024-06-23 22:19:59,1749,success,3722
PE000000136,T00000127,1,Khalti,2024-10-03 21:17:45,1405,success,22929
PE000000137,T00000128,1,Cash,2025-07-20 19:23:23,983,success,1809
PE000000138,T00000129,1,Khalti,2024-06-26 07:56:31,1489,retry,10387
PE000000139,T00000129,2,Khalti,2024-06-26 07:56:37,2944,success,10387
PE000000140,T00000130,1,IME Pay,2025-09-12 14:22:08,560,success,460
PE000000141,T00000131,1,eSewa,2025-02-26 08:16:41,1969,success,993
PE000000142,T00000132,1,eSewa,2024-09-03 16:24:03,1002,success,5142
PE000000143,T00000133,1,Khalti,2025-07-18 18:37:44,1614,success,8533
PE000000144,T00000134,1,IME Pay,2024-03-04 11:34:40,2308,success,2401
PE000000145,T00000135,1,eSewa,2024-05-13 16:03:42,1902,success,8420
PE000000146,T00000136,1,Card,2025-06-21 10:06:01,1627,success,103
PE000000147,T00000137,1,eSewa,2025-03-19 14:34:27,1451,success,2380
PE000000148,T00000138,1,eSewa,2025-04-29 19:52:11,983,success,4788
PE000000149,T00000139,1,Cash,2024-01-19 08:01:27,1093,success,8537
PE000000150,T00000140,1,FonePay,2024-07-19 10:12:23,120,success,17706
PE000000151,T00000141,1,IME Pay,2026-01-31 15:23:33,837,success,4073
PE000000152,T00000142,1,FonePay,2024-04-20 09:37:48,1750,success,10704
PE000000153,T00000143,1,Card,2025-10-09 18:47:35,1270,success,14284
PE000000154,T00000144,1,eSewa,2024-01-08 12:56:34,1892,success,2973
PE000000155,T00000145,1,eSewa,2025-08-10 18:16:17,1027,success,2055
PE000000156,T00000146,1,Cash,2025-09-27 09:39:45,1983,success,11961
PE000000157,T00000147,1,eSewa,2025-04-12 11:52:42,1470,success,37696
PE000000158,T00000148,1,Card,2025-03-31 18:33:35,1826,success,6126
PE000000159,T00000149,1,Khalti,2024-05-05 22:00:48,1088,success,2578
PE000000160,T00000150,1,Khalti,2025-11-27 17:47:28,1653,success,3488
PE000000161,T00000151,1,Card,2024-04-06 10:56:07,1333,success,2251
PE000000162,T00000152,1,eSewa,2025-12-01 22:34:55,524,success,14960
PE000000163,T00000153,1,FonePay,2024-11-24 18:19:02,2326,success,3068
PE000000164,T00000154,1,Cash,2026-03-15 13:26:49,950,success,8054
PE000000165,T00000155,1,Card,2025-01-06 17:52:37,1336,success,2436
PE000000166,T00000156,1,IME Pay,2026-01-16 21:03:03,1252,success,1157
PE000000167,T00000157,1,Cash,2024-09-22 19:19:54,1123,success,3150
PE000000168,T00000158,1,Khalti,2025-08-03 23:12:07,1620,success,8031
PE000000169,T00000159,1,Khalti,2025-01-27 17:01:04,1542,success,2049
PE000000170,T00000160,1,FonePay,2025-10-28 17:20:46,1736,success,9742
PE000000171,T00000161,1,Khalti,2025-06-20 18:03:23,955,success,2558
PE000000172,T00000162,1,IME Pay,2024-12-21 22:01:57,938,success,7539
PE000000173,T00000163,1,Card,2024-11-09 15:54:34,1271,success,8841
PE000000174,T00000164,1,FonePay,2024-10-17 19:08:12,1691,success,1506
PE000000175,T00000165,1,eSewa,2025-05-07 18:16:46,1374,success,1841
PE000000176,T00000166,1,Cash,2024-03-31 17:41:25,820,success,1579
PE000000177,T00000167,1,eSewa,2024-12-08 21:44:10,1578,success,345
PE000000178,T00000168,1,eSewa,2025-11-30 11:46:31,352,success,1912
PE000000179,T00000169,1,eSewa,2024-12-29 22:21:13,1429,success,4161
PE000000180,T00000170,1,Card,2025-05-07 13:20:38,1461,success,1709
PE000000181,T00000171,1,Cash,2025-05-14 17:42:26,2140,success,15366
PE000000182,T00000172,1,Khalti,2024-07-23 17:02:50,2001,retry,6084
PE000000183,T00000172,2,Khalti,2024-07-23 17:02:56,1854,retry,6084
PE000000184,T00000172,3,Khalti,2024-07-23 17:03:02,1892,success,6084
PE000000185,T00000173,1,FonePay,2025-11-16 20:35:52,1836,success,9362
PE000000186,T00000174,1,Khalti,2025-10-25 13:45:27,1173,success,843
PE000000187,T00000175,1,eSewa,2025-09-06 10:43:43,1384,success,5135
PE000000188,T00000176,1,Khalti,2024-05-14 21:52:26,928,success,15565
PE000000189,T00000177,1,IME Pay,2024-07-25 09:51:15,1339,success,4303
PE000000190,T00000178,1,Khalti,2025-12-30 17:55:40,2162,success,5121
PE000000191,T00000179,1,Khalti,2025-08-24 10:09:45,1282,success,3200
PE000000192,T00000180,1,eSewa,2025-03-15 12:29:35,951,success,9825
PE000000193,T00000181,1,Card,2024-08-13 07:51:25,1443,success,1397
PE000000194,T00000182,1,Khalti,2025-03-07 18:24:46,928,success,9876
PE000000195,T00000183,1,FonePay,2025-10-20 11:55:27,1753,success,901
PE000000196,T00000184,1,eSewa,2025-01-16 10:30:55,1494,success,18322
PE000000197,T00000185,1,FonePay,2026-01-15 16:10:05,882,success,28491
PE000000198,T00000186,1,Khalti,2024-12-15 18:18:45,727,success,9293
PE000000199,T00000187,1,eSewa,2024-06-29 08:16:40,1783,success,2370
PE000000200,T00000188,1,eSewa,2025-11-12 11:23:55,1700,success,6722
PE000000201,T00000189,1,Card,2025-12-25 11:30:52,1492,success,9934
PE000000202,T00000190,1,Cash,2026-01-04 16:59:17,1247,success,2886
PE000000203,T00000191,1,Card,2026-01-30 19:03:59,2122,success,17023
PE000000204,T00000192,1,Khalti,2025-09-28 20:03:21,3384,success,19754
PE000000205,T00000193,1,Cash,2024-04-13 20:23:00,699,success,5471
PE000000206,T00000194,1,Khalti,2025-05-11 13:57:14,1572,success,2378
PE000000207,T00000195,1,Khalti,2024-10-31 12:31:44,1482,success,2639
PE000000208,T00000196,1,FonePay,2024-12-03 18:58:17,1442,success,425
PE000000209,T00000197,1,IME Pay,2024-11-03 18:11:15,1747,success,5979
PE000000210,T00000198,1,IME Pay,2024-10-13 12:00:40,1773,success,17049
PE000000211,T00000199,1,Cash,2024-12-07 22:41:33,661,success,1744
PE000000212,T00000200,1,Cash,2024-11-23 17:33:58,2829,success,5606
PE000000213,T00000201,1,Card,2025-04-05 19:59:46,1000,retry,2111
PE000000214,T00000201,2,Card,2025-04-05 19:59:52,1365,success,2111
PE000000215,T00000202,1,Card,2024-03-22 17:59:15,2485,success,2678
PE000000216,T00000203,1,FonePay,2025-11-30 18:09:56,1142,success,19380
PE000000217,T00000204,1,FonePay,2024-06-06 15:32:46,1333,success,1727
PE000000218,T00000205,1,Card,2024-01-22 00:17:39,1553,success,5270
PE000000219,T00000206,1,Cash,2025-03-22 11:01:38,2323,success,523
PE000000220,T00000207,1,Card,2025-05-17 22:56:16,1850,success,960
PE000000221,T00000208,1,Card,2025-04-22 19:44:03,1786,success,1006
PE000000222,T00000209,1,eSewa,2025-02-10 12:31:50,925,retry,1693
PE000000223,T00000209,2,eSewa,2025-02-10 12:31:56,2589,success,1693
PE000000224,T00000210,1,Card,2024-01-06 12:30:46,1790,success,3937
PE000000225,T00000211,1,Cash,2025-04-12 18:59:14,1103,success,24262
PE000000226,T00000212,1,IME Pay,2024-06-30 08:23:54,1266,success,889
PE000000227,T00000213,1,Khalti,2024-02-17 18:25:06,1184,success,8178
PE000000228,T00000214,1,eSewa,2025-03-05 17:33:13,2165,success,9811
PE000000229,T00000215,1,Card,2026-02-15 14:38:49,1724,success,2979
PE000000230,T00000216,1,Card,2025-08-22 13:40:19,1325,success,9277
PE000000231,T00000217,1,Card,2024-11-01 19:48:27,1145,success,34831
PE000000232,T00000218,1,Khalti,2025-03-25 16:07:53,1588,success,145
PE000000233,T00000219,1,Cash,2025-05-12 15:43:51,1507,success,2544
PE000000234,T00000220,1,Cash,2026-03-11 11:35:30,2162,success,10007
PE000000235,T00000221,1,IME Pay,2024-12-13 17:24:25,1678,success,1226
PE000000236,T00000222,1,eSewa,2025-12-05 18:57:33,2221,success,1316
PE000000237,T00000223,1,Card,2024-07-30 17:07:45,2729,success,3180
PE000000238,T00000224,1,eSewa,2025-08-09 17:12:33,1086,success,8026
PE000000239,T00000225,1,Khalti,2026-01-08 16:57:17,1351,success,1376
PE000000240,T00000226,1,eSewa,2025-03-11 17:55:00,1624,success,1018
PE000000241,T00000227,1,eSewa,2024-08-29 13:56:10,1353,success,10920
PE000000242,T00000228,1,Khalti,2024-04-21 18:43:11,1212,success,2784
PE000000243,T00000229,1,IME Pay,2024-03-21 20:41:05,1568,success,12950
PE000000244,T00000230,1,Card,2024-04-06 14:06:51,1630,success,8120
PE000000245,T00000231,1,Khalti,2025-12-06 08:27:38,383,success,4704
PE000000246,T00000232,1,FonePay,2024-11-10 12:12:36,859,success,510
PE000000247,T00000233,1,Cash,2024-02-25 19:37:43,2472,success,2955
PE000000248,T00000234,1,Card,2025-04-20 14:27:34,450,success,31312
PE000000249,T00000235,1,Card,2025-04-29 17:39:49,1833,success,2036
PE000000250,T00000236,1,FonePay,2025-07-07 11:40:01,547,success,5264
PE000000251,T00000237,1,Khalti,2024-09-17 17:40:53,1222,success,5271
PE000000252,T00000238,1,Khalti,2024-01-04 09:12:53,1959,retry,4294
PE000000253,T00000238,2,Khalti,2024-01-04 09:12:59,1794,success,4294
PE000000254,T00000239,1,Card,2024-07-07 11:29:41,1256,success,824
PE000000255,T00000240,1,Card,2024-04-10 18:10:30,1698,success,5520
PE000000256,T00000241,1,Card,2026-03-27 12:45:35,757,success,8420
PE000000257,T00000242,1,IME Pay,2025-09-19 23:14:28,1531,success,10021
PE000000258,T00000243,1,Card,2024-09-24 08:01:54,1754,success,5643
PE000000259,T00000244,1,Cash,2026-03-23 16:45:42,903,success,10882
PE000000260,T00000245,1,Cash,2024-06-01 09:32:43,1005,success,14514
PE000000261,T00000246,1,Card,2024-04-26 19:22:56,1038,success,6886
PE000000262,T00000247,1,IME Pay,2025-12-31 19:46:22,675,success,8017
PE000000263,T00000248,1,Cash,2025-06-01 18:17:12,866,success,1675
PE000000264,T00000249,1,IME Pay,2024-10-26 08:35:03,528,success,131
PE000000265,T00000250,1,Khalti,2025-07-26 18:06:03,1648,success,1219
PE000000266,T00000251,1,IME Pay,2024-12-21 11:31:00,1714,success,1287
PE000000267,T00000252,1,IME Pay,2026-03-03 20:38:20,1620,success,37055
PE000000268,T00000253,1,eSewa,2024-05-20 19:03:41,2397,success,9527
PE000000269,T00000254,1,Cash,2024-11-16 19:22:02,1911,success,2435
PE000000270,T00000255,1,Card,2024-07-29 12:52:40,1327,success,6822
PE000000271,T00000256,1,FonePay,2024-01-27 12:28:41,613,success,15031
PE000000272,T00000257,1,IME Pay,2025-12-22 18:27:31,1476,success,4263
PE000000273,T00000258,1,FonePay,2025-05-08 17:52:25,1418,retry,6400
PE000000274,T00000258,2,FonePay,2025-05-08 17:52:31,1032,success,6400
PE000000275,T00000259,1,Card,2025-08-09 15:16:39,1041,success,16783
PE000000276,T00000260,1,FonePay,2024-06-19 08:38:32,1286,success,1048
PE000000277,T00000261,1,FonePay,2025-09-20 18:47:30,780,success,3967
PE000000278,T00000262,1,Cash,2025-04-06 15:45:43,1271,success,699
PE000000279,T00000263,1,Card,2024-03-31 11:35:13,1091,success,13297
PE000000280,T00000264,1,eSewa,2025-11-15 18:10:24,555,success,5173
PE000000281,T00000265,1,Khalti,2025-09-12 19:04:39,973,success,784
PE000000282,T00000266,1,Khalti,2025-02-11 17:31:26,1961,success,643
PE000000283,T00000267,1,IME Pay,2025-04-21 17:17:57,1326,success,10762
PE000000284,T00000268,1,IME Pay,2026-02-12 10:06:31,1643,success,82
PE000000285,T00000269,1,FonePay,2026-02-14 20:09:46,1040,success,1860
PE000000286,T00000270,1,Cash,2025-12-20 21:41:28,855,success,10547
PE000000287,T00000271,1,Cash,2025-06-04 14:43:35,1129,success,3874
PE000000288,T00000272,1,Card,2026-01-30 10:33:55,707,success,9497
PE000000289,T00000273,1,Card,2024-06-01 10:05:26,1252,success,2306
PE000000290,T00000274,1,Khalti,2025-11-24 19:56:15,1655,success,4428
PE000000291,T00000275,1,Card,2024-08-14 12:36:17,507,success,5378
PE000000292,T00000276,1,IME Pay,2025-05-24 13:47:26,1410,success,5232
PE000000293,T00000277,1,Khalti,2024-04-05 20:37:23,1963,success,12190
PE000000294,T00000278,1,IME Pay,2026-01-22 15:34:35,1386,success,945
PE000000295,T00000279,1,IME Pay,2024-07-07 14:37:42,1659,retry,1235
PE000000296,T00000279,2,IME Pay,2024-07-07 14:37:48,516,success,1235
PE000000297,T00000280,1,Cash,2024-04-25 18:15:14,1596,success,23299
PE000000298,T00000281,1,eSewa,2024-03-10 13:48:11,1169,success,13012
PE000000299,T00000282,1,eSewa,2025-10-25 14:20:55,1368,success,12872
PE000000300,T00000283,1,eSewa,2024-10-20 18:29:31,771,success,1938
PE000000301,T00000284,1,eSewa,2025-05-17 08:24:11,1658,success,10482
PE000000302,T00000285,1,Cash,2024-07-04 17:31:13,1089,success,17151
PE000000303,T00000286,1,eSewa,2025-07-26 18:44:34,2162,success,6214
PE000000304,T00000287,1,Card,2026-02-20 10:38:58,1180,success,6959
PE000000305,T00000288,1,IME Pay,2024-06-01 16:59:51,120,success,1561
PE000000306,T00000289,1,Cash,2025-06-03 18:38:05,1517,success,12105
PE000000307,T00000290,1,Khalti,2025-07-26 18:20:32,1653,success,954
PE000000308,T00000291,1,Cash,2026-03-31 15:37:49,1414,success,12515
PE000000309,T00000292,1,Cash,2024-05-29 21:06:15,981,success,127
PE000000310,T00000293,1,Card,2025-08-02 15:53:06,2503,success,4580
PE000000311,T00000294,1,IME Pay,2024-12-22 16:23:34,1335,success,2570
PE000000312,T00000295,1,Khalti,2025-09-13 17:52:15,1641,success,4202
PE000000313,T00000296,1,Cash,2025-07-21 20:36:00,1185,success,1020
PE000000314,T00000297,1,Card,2024-07-11 14:25:57,1605,success,1466
PE000000315,T00000298,1,IME Pay,2024-04-03 18:56:34,2085,success,2686
PE000000316,T00000299,1,Card,2025-11-29 19:27:51,854,success,50
PE000000317,T00000300,1,eSewa,2025-05-28 11:48:31,653,success,408
PE000000318,T00000301,1,FonePay,2024-03-09 16:22:40,970,success,3900
PE000000319,T00000302,1,FonePay,2025-04-07 11:54:25,1573,success,15871
PE000000320,T00000303,1,FonePay,2025-12-02 09:25:36,696,success,1696
PE000000321,T00000304,1,Cash,2024-01-27 21:48:44,1503,success,6229
PE000000322,T00000305,1,eSewa,2026-03-29 12:28:33,1216,success,334
PE000000323,T00000306,1,Card,2025-04-10 20:57:12,2082,success,1912
PE000000324,T00000307,1,Khalti,2024-08-18 17:50:52,1990,success,6360
PE000000325,T00000308,1,IME Pay,2024-11-25 20:36:20,1349,success,663
PE000000326,T00000309,1,IME Pay,2025-09-12 17:11:54,855,success,138
PE000000327,T00000310,1,FonePay,2024-01-21 14:06:28,1387,success,2824
PE000000328,T00000311,1,FonePay,2024-03-23 17:15:49,928,success,564
PE000000329,T00000312,1,FonePay,2025-08-17 20:48:07,2130,retry,4595
PE000000330,T00000312,2,FonePay,2025-08-17 20:48:13,646,success,4595
PE000000331,T00000313,1,Card,2024-08-26 17:00:09,2108,success,5723
PE000000332,T00000314,1,Khalti,2024-11-30 15:37:55,2404,success,1149
PE000000333,T00000315,1,eSewa,2024-06-22 18:26:50,1886,retry,2036
PE000000334,T00000315,2,eSewa,2024-06-22 18:26:56,711,success,2036
PE000000335,T00000316,1,Khalti,2024-06-01 18:41:27,487,success,49754
PE000000336,T00000317,1,FonePay,2026-02-11 15:13:31,1422,success,2488
PE000000337,T00000318,1,IME Pay,2026-02-25 10:59:37,2287,success,11527
PE000000338,T00000319,1,eSewa,2025-04-19 11:32:47,1984,retry,14316
PE000000339,T00000319,2,eSewa,2025-04-19 11:32:53,842,retry,14316
PE000000340,T00000319,3,eSewa,2025-04-19 11:32:59,2046,success,14316
PE000000341,T00000320,1,Khalti,2025-03-08 14:55:37,1262,success,1339
PE000000342,T00000321,1,eSewa,2025-05-15 15:06:24,1016,retry,3466
PE000000343,T00000321,2,eSewa,2025-05-15 15:06:30,861,retry,3466
PE000000344,T00000321,3,eSewa,2025-05-15 15:06:36,1431,success,3466
PE000000345,T00000322,1,Card,2025-09-17 15:39:12,1201,success,3466
PE000000346,T00000323,1,eSewa,2025-05-19 11:27:17,571,success,40462
PE000000347,T00000324,1,eSewa,2025-03-10 19:48:53,1083,success,918
PE000000348,T00000325,1,Card,2026-01-17 17:21:09,1240,success,3523
PE000000349,T00000326,1,eSewa,2024-10-09 07:36:24,491,success,7667
PE000000350,T00000327,1,Khalti,2026-03-30 18:59:41,488,success,7729
PE000000351,T00000328,1,eSewa,2025-12-27 14:35:58,1218,success,4461
PE000000352,T00000329,1,FonePay,2026-01-10 18:11:58,1430,success,8221
PE000000353,T00000330,1,eSewa,2024-04-28 13:24:11,490,success,673
PE000000354,T00000331,1,Card,2024-09-01 19:36:11,1618,success,1324
PE000000355,T00000332,1,IME Pay,2024-01-05 20:51:32,1123,retry,9202
PE000000356,T00000332,2,IME Pay,2024-01-05 20:51:38,1303,retry,9202
PE000000357,T00000332,3,IME Pay,2024-01-05 20:51:44,578,success,9202
PE000000358,T00000333,1,IME Pay,2025-05-05 18:07:21,1427,success,6616
PE000000359,T00000334,1,FonePay,2025-05-04 11:16:55,1302,success,1153
PE000000360,T00000335,1,eSewa,2025-09-11 19:16:28,1542,success,2075
PE000000361,T00000336,1,FonePay,2026-02-01 13:27:06,2566,success,1880
PE000000362,T00000337,1,Cash,2025-01-19 17:28:54,1377,success,4438
